fake_id,3,47,191,217,501,503,505,512,514,9003,9004,9005,9006,overall_total
3014-3026,145,137,810,222,365,669,348,282,124,1,14,32,1,3150
6746-6748,9,3,193,6,66,42,18,454,8,0,10,12,0,821
6739-6739,1,0,18,1,1,6,3,54,0,0,0,2,0,86
7688-7688,0,0,11,0,2,1,0,10,4,0,2,0,0,30
5322-5332,24,32,418,68,348,287,89,1156,118,0,34,71,0,2645
7393-7397,12,10,389,16,116,68,36,643,12,0,36,5,0,1343
6178-6183,25,18,468,50,156,172,39,572,27,0,18,37,0,1582
7559-7572,90,53,714,391,578,446,219,876,67,5,47,74,0,3560
7651-7655,28,15,585,20,125,195,20,207,13,0,8,15,0,1231
5985-5987,3,2,95,0,80,9,3,87,5,0,8,3,0,295
7093-7093,1,0,5,2,0,2,3,12,0,0,0,0,0,25
2949-2957,79,131,653,185,231,673,198,250,88,0,16,15,0,2519
1543-1550,260,56,286,54,382,285,194,418,143,0,24,55,4,2161
5427-5427,1,3,17,1,10,13,2,33,2,0,0,1,0,83
1032-1045,289,96,744,164,475,551,443,568,210,1,30,71,1,3643
5423-5426,14,5,229,24,55,90,32,507,13,0,18,13,0,1000
6537-6543,22,11,279,20,556,102,50,524,24,0,18,16,0,1622
1696-1712,328,186,905,166,594,858,569,670,316,2,29,74,2,4699
4805-4805,0,0,10,1,12,6,1,72,1,0,0,1,0,104
535-543,149,64,468,85,245,333,309,444,102,0,14,39,0,2252
7689-7689,0,0,11,0,1,0,0,19,0,0,1,0,0,32
4003-4007,5,18,590,26,455,109,31,198,11,0,18,13,0,1474
2973-2980,188,61,357,65,337,332,285,314,127,0,21,74,3,2164
3856-3856,1,0,6,0,9,0,1,10,1,0,1,0,0,29
2719-2720,30,10,76,12,28,61,33,38,7,0,3,5,0,303
6569-6571,12,7,145,4,109,53,47,326,7,0,6,9,0,725
3397-3409,105,37,758,85,564,702,179,751,85,0,54,49,0,3369
4546-4555,8,16,747,25,201,317,54,1063,24,64,31,46,0,2596
7714-7714,3,0,16,0,12,4,1,38,4,0,5,0,0,83
6323-6330,17,13,641,31,213,309,64,677,55,0,29,12,0,2061
4307-4315,47,24,915,24,274,140,72,894,26,0,27,47,0,2490
3952-3956,9,9,441,18,116,114,23,479,28,0,37,0,0,1274
6552-6552,2,0,32,2,15,5,3,54,1,0,3,0,0,117
90-97,89,74,439,124,287,351,294,195,88,0,7,26,0,1974
4844-4851,46,24,312,50,256,256,165,472,37,6,28,45,0,1697
7509-7523,95,64,909,361,692,581,213,967,97,0,38,61,1,4079
674-684,195,88,611,133,439,454,405,334,130,0,19,42,3,2853
3088-3088,2,0,11,1,14,10,2,42,3,2,2,0,0,89
7177-7190,132,71,762,106,451,479,324,1277,124,0,50,101,0,3877
4369-4374,11,4,807,8,75,66,19,472,17,9,28,21,0,1537
3960-3967,7,10,701,27,145,127,23,892,23,0,70,6,1,2032
5899-5906,97,49,622,45,247,363,120,603,55,2,35,49,2,2289
544-550,129,55,357,60,187,282,264,312,100,0,19,14,0,1779
3187-3187,1,0,15,9,8,5,5,35,0,0,1,0,0,79
4821-4821,0,0,44,0,2,4,2,54,2,0,2,12,0,122
739-747,113,58,515,126,271,401,315,258,103,0,20,16,0,2196
7637-7638,10,3,104,6,86,74,18,190,4,0,15,3,0,513
4397-4406,19,14,800,43,433,394,64,808,41,0,41,51,0,2708
6911-6917,11,6,532,36,78,120,26,1083,19,0,28,11,0,1950
5123-5130,110,22,395,87,290,400,160,392,85,0,27,43,0,2011
5301-5304,8,4,144,14,119,85,19,358,22,0,7,6,0,786
