mesa_desde,mesa_hasta,vot_parcodigo,total
995,1004,9003,0
995,1004,9004,12
995,1004,9005,37
995,1004,9006,0
1005,1014,003,482
1005,1014,047,90
1005,1014,191,203
1005,1014,217,77
1005,1014,501,337
1005,1014,503,404
1005,1014,505,301
1005,1014,512,414
1005,1014,514,188
1005,1014,9003,0
1005,1014,9004,20
1005,1014,9005,64
1005,1014,9006,1
1015,1024,003,506
1015,1024,047,87
1015,1024,191,217
1015,1024,217,107
1015,1024,501,340
1015,1024,503,382
1015,1024,505,349
1015,1024,512,365
1015,1024,514,175
1015,1024,9003,0
1015,1024,9004,17
1015,1024,9005,76
1015,1024,9006,0
1025,1031,003,362
1025,1031,047,63
1025,1031,191,117
1025,1031,217,55
1025,1031,501,230
1025,1031,503,256
1025,1031,505,243
1025,1031,512,317
1025,1031,514,120
1025,1031,9003,0
1025,1031,9004,15
1025,1031,9005,37
1025,1031,9006,5
1032,1045,003,744
1032,1045,047,164
1032,1045,191,289
1032,1045,217,96
1032,1045,501,475
1032,1045,503,551
1032,1045,505,443
1032,1045,512,568
1032,1045,514,210
1032,1045,9003,1
1032,1045,9004,30
1032,1045,9005,71
1032,1045,9006,1
1046,1053,003,493
1046,1053,047,125
1046,1053,191,124
1046,1053,217,72
1046,1053,501,259
1046,1053,503,456
1046,1053,505,299
1046,1053,512,230
1046,1053,514,115
1046,1053,9003,0
1046,1053,9004,14
1046,1053,9005,34
1046,1053,9006,1
1054,1063,003,639
1054,1063,047,141
1054,1063,191,154
1054,1063,217,97
1054,1063,501,313
1054,1063,503,553
1054,1063,505,366
1054,1063,512,313
1054,1063,514,122
1054,1063,9003,0
1054,1063,9004,23
1054,1063,9005,43
1054,1063,9006,0
1064,1072,003,574
1064,1072,047,117
1064,1072,191,139
1064,1072,217,69
1064,1072,501,285
1064,1072,503,478
1064,1072,505,276
1064,1072,512,272
1064,1072,514,145
1064,1072,9003,0
1064,1072,9004,15
1064,1072,9005,50
1064,1072,9006,0
1073,1086,003,768
1073,1086,047,152
1073,1086,191,198
1073,1086,217,74
1073,1086,501,472
1073,1086,503,503
1073,1086,505,477
1073,1086,512,414
1073,1086,514,308
1073,1086,9003,0
1073,1086,9004,25
1073,1086,9005,53
1073,1086,9006,0
1087,1099,003,777
1087,1099,047,188
1087,1099,191,196
1087,1099,217,118
1087,1099,501,390
1087,1099,503,548
1087,1099,505,475
1087,1099,512,413
1087,1099,514,164
1087,1099,9003,0
1087,1099,9004,30
1087,1099,9005,68
1087,1099,9006,4
1100,1116,003,940
1100,1116,047,209
1100,1116,191,246
1100,1116,217,149
1100,1116,501,611
1100,1116,503,741
1100,1116,505,652
1100,1116,512,544
1100,1116,514,275
1100,1116,9003,0
1100,1116,9004,31
1100,1116,9005,58
1100,1116,9006,2
1117,1123,003,335
1117,1123,047,81
1117,1123,191,138
1117,1123,217,68
1117,1123,501,240
1117,1123,503,285
1117,1123,505,253
1117,1123,512,267
1117,1123,514,110
1117,1123,9003,0
1117,1123,9004,17
1117,1123,9005,40
1117,1123,9006,0
1124,1131,003,439
1124,1131,047,96
1124,1131,191,127
1124,1131,217,61
1124,1131,501,270
1124,1131,503,342
1124,1131,505,318
1124,1131,512,246
1124,1131,514,121
1124,1131,9003,1
1124,1131,9004,25
1124,1131,9005,42
1124,1131,9006,0
1132,1141,003,567
1132,1141,047,140
1132,1141,191,123
1132,1141,217,79
1132,1141,501,339
1132,1141,503,473
1132,1141,505,351
1132,1141,512,275
1132,1141,514,139
1132,1141,9003,0
1132,1141,9004,11
1132,1141,9005,26
1132,1141,9006,0
1142,1149,003,463
1142,1149,047,123
1142,1149,191,110
1142,1149,217,71
1142,1149,501,261
1142,1149,503,378
1142,1149,505,257
1142,1149,512,226
1142,1149,514,95
1142,1149,9003,0
1142,1149,9004,12
1142,1149,9005,21
1142,1149,9006,0
1150,1163,003,647
1150,1163,047,128
1150,1163,191,307
1150,1163,217,166
1150,1163,501,528
1150,1163,503,581
1150,1163,505,396
1150,1163,512,506
1150,1163,514,172
1150,1163,9003,2
1150,1163,9004,34
1150,1163,9005,77
1150,1163,9006,0
1164,1181,003,849
1164,1181,047,197
1164,1181,191,361
1164,1181,217,165
1164,1181,501,695
1164,1181,503,684
1164,1181,505,562
1164,1181,512,624
1164,1181,514,245
1164,1181,9003,5
1164,1181,9004,34
1164,1181,9005,109
1164,1181,9006,0
1182,1191,003,447
1182,1191,047,100
1182,1191,191,208
1182,1191,217,90
1182,1191,501,368
1182,1191,503,404
1182,1191,505,285
1182,1191,512,360
1182,1191,514,124
1182,1191,9003,0
1182,1191,9004,24
1182,1191,9005,57
1182,1191,9006,2
1192,1200,003,404
