mesa_desde,mesa_hasta,vot_parcodigo,total
587,596,501,294
587,596,503,323
587,596,505,268
587,596,514,117
587,596,3020,24
587,596,3021,461
587,596,3022,104
587,596,3023,50
587,596,3024,4
587,596,3025,13
587,596,3026,302
587,596,3027,135
587,596,9003,1
587,596,9004,30
587,596,9005,51
587,596,9006,3
597,607,047,129
597,607,063,39
597,607,191,182
597,607,234,27
597,607,501,369
597,607,503,344
597,607,505,308
597,607,514,102
597,607,3020,27
597,607,3021,482
597,607,3022,111
597,607,3023,52
597,607,3024,12
597,607,3025,11
597,607,3026,296
597,607,3027,137
597,607,9003,0
597,607,9004,29
597,607,9005,43
597,607,9006,1
608,612,047,19
608,612,063,10
608,612,191,133
608,612,234,6
608,612,501,56
608,612,503,90
608,612,505,46
608,612,514,34
608,612,3020,11
608,612,3021,73
608,612,3022,19
608,612,3023,5
608,612,3024,2
608,612,3025,6
608,612,3026,409
608,612,3027,56
608,612,9003,0
608,612,9004,35
608,612,9005,22
608,612,9006,0
613,624,047,83
613,624,063,45
613,624,191,337
613,624,234,42
613,624,501,194
613,624,503,341
613,624,505,230
613,624,514,107
613,624,3020,28
613,624,3021,339
613,624,3022,43
613,624,3023,31
613,624,3024,10
613,624,3025,11
613,624,3026,579
613,624,3027,240
613,624,9003,3
613,624,9004,47
613,624,9005,70
613,624,9006,3
625,635,047,61
625,635,063,34
625,635,191,281
625,635,234,30
625,635,501,183
625,635,503,277
625,635,505,183
625,635,514,96
625,635,3020,22
625,635,3021,322
625,635,3022,45
625,635,3023,36
625,635,3024,15
625,635,3025,8
625,635,3026,617
625,635,3027,232
625,635,9003,0
625,635,9004,40
625,635,9005,74
625,635,9006,0
636,636,047,5
636,636,063,1
636,636,191,18
636,636,234,2
636,636,501,6
636,636,503,13
636,636,505,8
636,636,514,1
636,636,3020,0
636,636,3021,20
636,636,3022,2
636,636,3023,1
636,636,3024,0
636,636,3025,0
636,636,3026,44
636,636,3027,7
636,636,9003,0
636,636,9004,3
636,636,9005,3
636,636,9006,0
637,642,047,32
637,642,063,24
637,642,191,250
637,642,234,16
637,642,501,126
637,642,503,187
637,642,505,79
637,642,514,38
637,642,3020,23
637,642,3021,210
637,642,3022,31
637,642,3023,6
637,642,3024,5
637,642,3025,14
637,642,3026,313
637,642,3027,99
637,642,9003,12
637,642,9004,36
637,642,9005,49
637,642,9006,1
643,655,047,55
643,655,063,41
643,655,191,564
643,655,234,40
643,655,501,222
643,655,503,412
643,655,505,189
643,655,514,131
643,655,3020,28
643,655,3021,370
643,655,3022,55
643,655,3023,43
643,655,3024,19
643,655,3025,25
643,655,3026,645
643,655,3027,144
643,655,9003,8
643,655,9004,74
643,655,9005,82
643,655,9006,3
656,673,047,167
656,673,063,58
656,673,191,407
656,673,234,48
656,673,501,553
656,673,503,632
656,673,505,424
656,673,514,237
656,673,3020,33
656,673,3021,821
656,673,3022,135
656,673,3023,64
656,673,3024,20
656,673,3025,16
656,673,3026,524
656,673,3027,267
656,673,9003,0
656,673,9004,54
656,673,9005,118
656,673,9006,3
674,684,047,109
674,684,063,49
674,684,191,281
674,684,234,38
674,684,501,335
674,684,503,370
674,684,505,264
674,684,514,120
674,684,3020,28
674,684,3021,473
674,684,3022,83
674,684,3023,28
674,684,3024,17
674,684,3025,23
674,684,3026,321
674,684,3027,177
674,684,9003,0
674,684,9004,33
674,684,9005,55
674,684,9006,13
685,697,047,122
685,697,063,65
685,697,191,297
685,697,234,34
685,697,501,395
685,697,503,434
685,697,505,373
685,697,514,163
685,697,3020,33
685,697,3021,536
685,697,3022,96
685,697,3023,50
685,697,3024,14
685,697,3025,27
685,697,3026,392
685,697,3027,189
685,697,9003,0
685,697,9004,27
685,697,9005,93
685,697,9006,6
698,709,047,105
698,709,063,51
698,709,191,277
698,709,234,39
698,709,501,373
698,709,503,408
698,709,505,322
698,709,514,151
698,709,3020,24
698,709,3021,495
698,709,3022,82
698,709,3023,46
698,709,3024,22
698,709,3025,18
698,709,3026,374
698,709,3027,202
698,709,9003,7
698,709,9004,41
698,709,9005,61
698,709,9006,6
710,720,047,87
710,720,063,41
710,720,191,231
710,720,234,41
710,720,501,303
710,720,503,400
710,720,505,305
710,720,514,128
710,720,3020,33
710,720,3021,472
710,720,3022,76
